350
40 396
12 15 172602
22 26 119046
14 35 72605
28 11 162276
38 12 38540
32 12 103279
17 19 214097
10 21 121904
11 3 104624
27 12 67398
35 10 90770
8 15 102564
20 13 89638
40 36 84442
24 31 140468
19 8 142505
20 30 99656
9 32 62863
36 9 68043
16 34 119337
36 21 101467
15 26 177476
35 34 134644
22 23 75205
23 5 65561
8 37 56692
7 18 121886
14 36 83810
17 3 158822
6 26 160400
6 17 123409
36 11 132291
25 23 207265
25 24 220137
24 9 56601
35 2 75593
12 7 77624
22 30 121011
23 8 31065
3 5 92328
24 7 93809
20 4 35322
3 36 99891
12 5 62257
30 6 122412
29 21 115254
29 4 103276
36 19 178397
12 4 113502
34 32 161216
28 2 82825
8 40 7736
14 8 19954
21 40 112708
26 23 153236
16 5 72936
38 30 39768
3 7 122270
8 30 88858
39 36 40553
1 18 44510
40 2 16350
19 11 164697
5 1 40921
9 35 40043
14 5 54450
10 34 104187
11 17 164955
8 27 41677
31 39 155626
31 34 175482
5 38 50076
37 30 67648
30 35 77935
40 38 66429
17 27 127061
2 22 52748
33 36 51333
32 1 75461
26 17 196146
14 29 94941
28 21 179160
12 20 98428
6 4 96153
31 22 170742
39 1 62468
3 12 80792
38 18 75194
5 31 139575
6 2 46639
15 5 121588
34 33 134970
26 10 146166
28 27 115865
28 39 130231
25 16 214631
12 22 114172
31 13 119249
38 22 81243
1 2 2189
5 21 139468
15 16 162533
29 6 125781
23 28 47745
33 28 119451
15 17 135530
20 7 137192
6 18 76110
17 20 98455
30 5 63485
32 31 154238
25 2 184805
25 39 167622
39 11 147233
3 38 42252
40 22 36398
34 21 168594
29 19 98080
13 12 8790
18 30 114962
17 23 116449
22 15 58430
3 19 156695
3 4 95689
36 34 164938
22 13 111014
36 37 97799
30 1 82421
11 6 129209
21 14 124926
16 33 111904
26 14 142329
23 1 37490
1 11 97609
16 8 81553
29 12 22177
31 17 206207
25 13 195162
26 8 122375
37 26 65683
35 32 102906
21 26 84180
33 40 52999
35 29 81304
1 19 139516
11 10 114975
32 20 124627
30 13 10018
29 31 122142
17 36 149268
37 10 80483
31 38 89499
21 15 194379
8 36 76706
4 11 101822
4 26 133013
30 4 99907
32 23 111830
31 3 96288
25 21 228535
30 32 104507
26 5 87879
40 3 87081
23 35 97840
13 24 24975
12 16 61400
9 33 92686
10 12 66286
14 1 13538
27 15 131084
24 4 114864
15 3 140152
28 25 250379
2 36 72470
17 39 141427
2 17 76782
33 22 89397
14 20 50884
2 4 66715
31 8 148192
32 19 173217
14 24 95264
18 16 98054
18 26 112997
13 16 52610
10 17 202418
25 1 182638
13 8 78828
18 25 198804
5 36 111223
27 26 147475
1 20 59816
1 15 108989
19 37 130205
2 10 125648
28 17 159572
21 17 190356
17 14 88110
15 19 229597
25 6 185640
23 33 76328
19 24 109668
7 28 169720
27 11 132861
12 31 128039
39 14 75997
14 40 27690
20 21 145206
36 24 93272
20 34 143098
15 18 64479
40 17 93120
5 9 51952
2 5 43110
26 7 192147
33 19 148624
34 15 192271
33 21 71693
13 28 100886
38 10 87246
35 28 138071
25 14 196145
30 33 119249
21 30 111885
